"facltNm","contentId","manageSttus","induty","lctCl","doNm","sigunguNm","operPdCl","sbrsCl","facltDivNm","siteBottomCl1","siteBottomCl2","siteBottomCl3","siteBottomCl4","siteBottomCl5","roomCount"
"청주시 현도오토캠핑장","7292","운영","자동차야영장","","충청북도","청주시","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"성동 서울숲 여름캠핑장(임시캠핑장)","7296","운영","일반야영장","","서울시","성동구","","","","0","0","0","0","0","0"
"가리산자연휴양림 야영장","73","운영","자동차야영장","산,숲","강원도","홍천군","봄,여름,가을","무선인터넷,놀이터,운동시설","지자체","0","0","38","0","0","38"
"장안캠프","7300","운영","일반야영장","숲,호수,도심","부산시","기장군","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,운동장","민간","0","37","45","0","0","82"
"바다마을 팬션","7303","운영","일반야영장","","인천시","중구","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"인천대공원 캠핑장","7304","운영","일반야영장","","인천시","남동구","봄,여름,가을","","민간","0","0","0","0","0","0"
"뮤즈캠핑장","7308","운영","일반야영장","","인천시","강화군","","","","0","0","0","0","0","0"
"쥬라기 카라반","7309","운영","일반야영장","","인천시","강화군","","","","0","0","0","0","0","0"
"대덕 관광농원","731","운영","일반야영장,글램핑","산","전라남도","영광군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","3","0","0","0","14"
"강화도 아침 숲속야영장","7310","운영","일반야영장","","인천시","강화군","","","","0","0","0","0","0","0"
"장경리해변 야영장","7311","운영","일반야영장","해변","인천시","옹진군","봄,여름,가을,겨울","전기,온수,물놀이장","지자체","0","0","0","0","0","26"
"국립중앙과학관","7314","휴장","일반야영장","","대전시","유성구","","운동장","","0","0","0","0","0","0"
"등억알프스야영장","7315","운영","일반야영장","산","울산시","울주군","","","지자체","0","0","0","0","0","0"
"해오름 야영장","7316","운영","일반야영장","산,숲","울산시","울주군","","","민간","0","30","0","0","0","30"
"울주해양레포츠센터 야영장","7318","운영","일반야영장","","울산시","울주군","","","민간","0","0","0","0","0","0"
"북한산농바위캠핑장","7319","운영","일반야영장","","경기도","고양시","봄,여름,가을,겨울","","민간","0","0","0","0","0","6"
"(주)대산기획피케이씨","7320","운영","일반야영장","","경기도","과천시","봄,여름,가을","","민간","0","0","0","0","0","0"
"작은쉼터야영장","7322","운영","일반야영장","","경기도","시흥시","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"물왕숲캠핑파크","7323","운영","일반야영장","산","경기도","시흥시","","","민간","0","0","0","0","0","0"
